event_id,ticker,company,dividend_per_share,currency,dividend_type,qualification_date,payment_date,closure_date,announcement_date,registrar,status,source_url,source_title,last_verified,confidence
703efa33d11b41b4,FCMB,FCMB GROUP PLC,0.0034999999999999996,NGN,dividend,2026-06-15,2026-06-15,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47349_FCMB_GROUP_PLC-RESOLUTIONS_PASSED_AT_THE_13TH_ANNUAL_GENERAL_MEETING_OF_FCMB_GROUP_PLC_CORPORATE_ACTIONS_JULY_2026.pdf,FCMB GROUP PLC-RESOLUTIONS PASSED AT THE 13TH ANNUAL GENERAL MEETING OF FCMB GROUP PLC CORPORATE ACTIONS JULY 2026,2026-09-01,high
bb718038acef8db3,NIDF,NIDF Q2 2026 Distribution Announcement,4.4,NGN,distribution,2026-07-17,2026-07-27,2026-07-20,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/NIDF_Q2_2026_Distribution_Announcement.pdf,NIDF Q2 2026 Distribution Announcement,2026-09-01,high
4608166174528bb5,GUINNESS,GUINNESS NIG PLC-GUINNESS NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,7.0,NGN,interim,2026-07-29,2026-08-10,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47520_GUINNESS_NIG_PLC-GUINNESS_NIGERIA_PLC_-_INTERIM_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,GUINNESS NIG PLC-GUINNESS NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
5a32268064ef8f2a,UNILEVER,UNILEVER NIGERIA PLC.-UNILEVER NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,0.02,NGN,interim,2026-07-31,2026-08-14,,2026-07-21,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47501_UNILEVER_NIGERIA_PLC.-UNILEVER_NIGERIA_PLC_-_INTERIM_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,UNILEVER NIGERIA PLC.-UNILEVER NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
2d57241d247f1cfb,VFDGROUP,VFD GROUP PLC,0.24,NGN,interim,2026-08-03,2026-08-10,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47740_VFD_GROUP_PLC-CORPORATE_ACTIONS_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,VFD GROUP PLC-CORPORATE ACTIONS ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-08-31,high
4ab8d7771648b26a,IKEJAHOTEL,IKEJA HOTEL PLC-IKEJA HOTEL PLC,0.03,NGN,interim,2026-08-07,2026-09-04,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47530_IKEJA_HOTEL_PLC-IKEJA_HOTEL_PLC_-_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,IKEJA HOTEL PLC-IKEJA HOTEL PLC - DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
4268ce12e9be89c3,PRESCO,PRESCO PLC,10.0,NGN,interim,2026-08-14,2026-08-27,,2026-07-29,,proposed,"https://doclib.ngxgroup.com/Financial_NewsDocs/47603_PRESCO_PLC-CORPORATE_ACTION_ANNOUNCEMENT_-Q2,_2026_INTERIM_DIVIDENDS_CORPORATE_ACTIONS_JULY_2026.pdf","PRESCO PLC-CORPORATE ACTION ANNOUNCEMENT -Q2, 2026 INTERIM DIVIDENDS CORPORATE ACTIONS JULY 2026",2026-08-30,high
4abd41a11fca67b7,MTNN,MTN NIGERIA COMMUNICATIONS PLC - NGX NOTIFICATION MTN NIGERIA INTERIM DIVIDEND NO 36,26.0,NGN,interim,2026-08-20,2026-09-07,,2026-06-30,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47694_MTN_NIGERIA_COMMUNICATIONS_PLC-NGX_NOTIFICATION_MTN_NIGERIA_INTERIM_DIVIDEND_NO_36_CORPORATE_ACTIONS_JULY_2026.pdf,MTN NIGERIA COMMUNICATIONS PLC - NGX NOTIFICATION MTN NIGERIA INTERIM DIVIDEND NO 36,2026-08-30,high
64f921f91494cb59,LEARNAFRCA,LEARN AFRICA PLC- NOTICES OF ANNUAL GENERAL MEETING (AGM),0.35,NGN,dividend,2026-09-11,2026-09-25,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47811_LEARN_AFRICA_PLC-_NOTICES_OF_ANNUAL_GENERAL_MEETING_(AGM)_-__ANNUAL_GENERAL_MEETING_(AGM)_AUGUST_2026.pdf,LEARN AFRICA PLC- NOTICES OF ANNUAL GENERAL MEETING (AGM) - ANNUAL GENERAL MEETING (AGM) AUGUST 2026,2026-09-01,high
4aa74bc6476886bf,LEARNAFRCA,LEARN AFRICA PLC,0.35,NGN,final,2026-09-11,2026-09-11,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47337_LEARN_AFRICA_PLC-CORPORATE_ACTION_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,LEARN AFRICA PLC-CORPORATE ACTION ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
