ticker,2026-09-22,2026-09-23
ABBEYBANK,7.00,7.00
ABCTRANS,4.50,4.40
ACADEMY,5.10,5.10
ACCESSCORP,30.15,30.50
AFRINSURE,0.20,0.20
AFRIPRUD,10.45,10.10
AFROMEDIA,0.24,0.24
AIICO,3.75,3.94
AIRTELAFRI,6300.00,6300.00
ALEX,9.90,9.90
ARADEL,1530.00,1530.00
AUSTINLAZ,2.20,2.20
AVACAP,5.05,5.15
AVAIF,1000000.00,1000000.00
BAPLC,6.25,6.25
BERGER,147.60,147.60
BETAGLAS,511.50,511.50
BUACEMENT,297.00,297.00
BUAFOODS,760.60,760.60
CADBURY,60.10,60.10
CAP,102.00,102.00
CAVERTON,4.40,4.00
CHAMPION,10.00,10.00
CHAMS,3.49,3.41
CHELLARAM,9.70,9.70
CILEASING,5.70,5.50
CMFC,2.46,2.70
CNIF,154.30,154.30
CONHALLPLC,7.15,7.15
CONOIL,210.00,210.00
CORNERST,4.95,5.20
CUSTODIAN,70.00,70.00
CUTIX,2.29,2.39
CWG,18.15,18.00
DAARCOMM,1.33,1.38
DANGCEM,1068.00,1066.70
DANGSUGAR,71.50,71.00
EKOCORP,5.80,5.80
ELLAHLAKES,8.05,8.45
ENAMELWA,40.70,40.70
ETERNA,35.00,38.50
ETI,66.50,66.50
ETRANZACT,12.60,12.50
EUNISELL,189.00,189.00
FCMB,11.10,11.10
FIDELITYBK,20.10,20.10
FIDSON,80.00,80.00
FIRSTHOLDCO,162.80,165.00
FTGINSURE,1.95,2.00
FTNCOCOA,8.00,8.10
GEREGU,825.70,825.70
GOLDBREW,7.10,7.10
GTCO,137.30,137.50
GUINEAINS,0.70,0.75
GUINNESS,384.80,384.80
HBMNG,361.50,359.60
HMCALL,2.99,3.28
HONYFLOUR,15.65,16.85
IKEJAHOTEL,44.50,44.50
IMG,27.65,28.00
INFINITY,11.25,11.25
INTBREW,9.65,9.75
INTENEGINS,2.24,2.30
JAIZBANK,7.85,8.00
JAPAULGOLD,2.56,2.60
JBERGER,310.80,310.80
JOHNHOLT,7.30,8.00
JULI,6.55,6.55
LASACO,1.80,1.80
LEARNAFRCA,8.60,8.60
LEGENDINT,3.40,3.60
LINKASSURE,1.65,1.63
LIVESTOCK,7.80,8.15
LIVINGTRUST,2.60,2.60
MANSARD,11.20,11.50
MAYBAKER,39.00,41.30
MBENEFIT,3.50,3.44
MCNICHOLS,5.05,5.05
MECURE,56.20,56.20
MEYER,15.95,15.95
MOFIREIF,100.00,100.00
MORISON,10.40,10.40
MTNN,850.00,855.00
MULTITREX,0.36,0.36
MULTIVERSE,19.20,19.20
NAHCO,130.00,140.00
NASCON,176.00,183.40
NB,77.90,77.90
NCR,161.20,161.20
NEIMETH,7.95,8.30
NEM,28.70,28.70
NESTLE,2900.00,2900.00
NGXGROUP,185.00,185.00
NIDF,147.70,147.70
NNFM,79.40,79.40
NPFMCRFBK,4.15,4.05
NREIT,113.00,113.00
NSLTECH,0.74,0.74
OANDO,36.00,36.15
OKOMUOIL,1276.20,1276.20
OMATEK,1.35,1.48
PHARMDEKO,1.83,1.83
PREMPAINTS,30.40,30.40
PRESCO,2045.30,2045.30
PRESTIGE,1.37,1.38
PZ,74.50,73.80
REDSTAREX,14.75,14.75
REGALINS,0.70,0.71
RONCHESS,81.00,81.00
ROYALEX,0.96,0.99
RTBRISCOE,8.90,8.90
SCOA,33.05,33.05
SEPLAT,14907.80,14907.80
SFSREIT,418.75,418.75
SKYAVN,171.20,171.20
SOVRENINS,2.21,2.40
STANBIC,163.85,164.00
STERLINGNG,7.70,7.70
SUNUASSUR,3.08,3.08
TANTALIZER,3.98,3.89
THOMASWY,2.53,2.78
TIP,25.55,26.00
TOTAL,576.00,576.00
TRANSCOHOT,265.50,265.50
TRANSCORP,37.00,37.00
TRANSEXPR,2.80,3.00
TRANSPOWER,178.00,178.00
TRIPPLEG,2.30,2.30
UACN,172.00,172.00
UBA,46.00,46.00
UCAP,18.00,17.10
UHOMREIT,70.00,70.00
UNILEVER,109.95,109.95
UNIONDICON,23.75,23.75
UNITYBNK,1.51,1.51
UNIVINSURE,0.77,0.77
UPDC,3.55,3.60
UPDCREIT,18.55,18.55
UPL,5.00,4.55
VERITASKAP,1.10,1.04
VFDGROUP,11.50,11.50
VITAFOAM,194.00,194.00
WAPIC,2.38,2.23
WEMABANK,32.00,31.80
ZENITHBANK,132.00,135.00
ZICHIS,15.70,16.28
