ticker,company,price,updated_at
ABBEYBANK,,7.05,2026-09-19 19:22 UTC
ABCTRANS,,4.50,2026-09-19 19:22 UTC
ACADEMY,,5.10,2026-09-19 19:22 UTC
ACCESSCORP,,29.15,2026-09-19 19:22 UTC
AFRINSURE,,0.20,2026-09-19 19:22 UTC
AFRIPRUD,,10.50,2026-09-19 19:22 UTC
AFROMEDIA,,0.24,2026-09-19 19:22 UTC
AIICO,,3.77,2026-09-19 19:22 UTC
AIRTELAFRI,,6300.00,2026-09-19 19:22 UTC
ALEX,,9.90,2026-09-19 19:22 UTC
ARADEL,,1550.00,2026-09-19 19:22 UTC
AUSTINLAZ,,2.09,2026-09-19 19:22 UTC
AVACAP,,4.90,2026-09-19 19:22 UTC
AVAIF,,1000000.00,2026-09-19 19:22 UTC
BAPLC,,6.25,2026-09-19 19:22 UTC
BERGER,,147.60,2026-09-19 19:22 UTC
BETAGLAS,,511.50,2026-09-19 19:22 UTC
BUACEMENT,,297.00,2026-09-19 19:22 UTC
BUAFOODS,,760.60,2026-09-19 19:22 UTC
CADBURY,,53.00,2026-09-19 19:22 UTC
CAP,,102.00,2026-09-19 19:22 UTC
CAVERTON,,4.30,2026-09-19 19:22 UTC
CHAMPION,,10.95,2026-09-19 19:22 UTC
CHAMS,,3.60,2026-09-19 19:22 UTC
CHELLARAM,,9.70,2026-09-19 19:22 UTC
CILEASING,,5.50,2026-09-19 19:22 UTC
CMFC,,2.04,2026-09-19 19:22 UTC
CNIF,,154.30,2026-09-19 19:22 UTC
CONHALLPLC,,7.37,2026-09-19 19:22 UTC
CONOIL,,210.00,2026-09-19 19:22 UTC
CORNERST,,5.20,2026-09-19 19:22 UTC
CUSTODIAN,,75.00,2026-09-19 19:22 UTC
CUTIX,,2.29,2026-09-19 19:22 UTC
CWG,,18.90,2026-09-19 19:22 UTC
DAARCOMM,,1.46,2026-09-19 19:22 UTC
DANGCEM,,1050.00,2026-09-19 19:22 UTC
DANGSUGAR,,71.55,2026-09-19 19:22 UTC
EKOCORP,,5.80,2026-09-19 19:22 UTC
ELLAHLAKES,,8.35,2026-09-19 19:22 UTC
ENAMELWA,,40.70,2026-09-19 19:22 UTC
ETERNA,,35.00,2026-09-19 19:22 UTC
ETI,,67.00,2026-09-19 19:22 UTC
ETRANZACT,,12.70,2026-09-19 19:22 UTC
EUNISELL,,189.00,2026-09-19 19:22 UTC
FCMB,,11.10,2026-09-19 19:22 UTC
FIDELITYBK,,19.10,2026-09-19 19:22 UTC
FIDSON,,80.00,2026-09-19 19:22 UTC
FIRSTHOLDCO,,160.00,2026-09-19 19:22 UTC
FTGINSURE,,1.65,2026-09-19 19:22 UTC
FTNCOCOA,,7.90,2026-09-19 19:22 UTC
GEREGU,,825.70,2026-09-19 19:22 UTC
GOLDBREW,,7.10,2026-09-19 19:22 UTC
GTCO,,130.00,2026-09-19 19:22 UTC
GUINEAINS,,0.70,2026-09-19 19:22 UTC
GUINNESS,,384.80,2026-09-19 19:22 UTC
HBMNG,,345.20,2026-09-19 19:22 UTC
HMCALL,,3.60,2026-09-19 19:22 UTC
HONYFLOUR,,15.60,2026-09-19 19:22 UTC
IKEJAHOTEL,,44.50,2026-09-19 19:22 UTC
IMG,,27.65,2026-09-19 19:22 UTC
INFINITY,,11.25,2026-09-19 19:22 UTC
INTBREW,,10.00,2026-09-19 19:22 UTC
INTENEGINS,,2.25,2026-09-19 19:22 UTC
JAIZBANK,,7.90,2026-09-19 19:22 UTC
JAPAULGOLD,,2.51,2026-09-19 19:22 UTC
JBERGER,,310.80,2026-09-19 19:22 UTC
JOHNHOLT,,7.30,2026-09-19 19:22 UTC
JULI,,6.55,2026-09-19 19:22 UTC
LASACO,,1.82,2026-09-19 19:22 UTC
LEARNAFRCA,,8.00,2026-09-19 19:22 UTC
LEGENDINT,,3.65,2026-09-19 19:22 UTC
LINKASSURE,,1.70,2026-09-19 19:22 UTC
LIVESTOCK,,8.00,2026-09-19 19:22 UTC
LIVINGTRUST,,2.60,2026-09-19 19:22 UTC
MANSARD,,12.00,2026-09-19 19:22 UTC
MAYBAKER,,39.00,2026-09-19 19:22 UTC
MBENEFIT,,3.60,2026-09-19 19:22 UTC
MCNICHOLS,,5.20,2026-09-19 19:22 UTC
MECURE,,56.20,2026-09-19 19:22 UTC
MEYER,,15.95,2026-09-19 19:22 UTC
MOFIREIF,,100.00,2026-09-19 19:22 UTC
MORISON,,10.40,2026-09-19 19:22 UTC
MTNN,,890.00,2026-09-19 19:22 UTC
MULTITREX,,0.36,2026-09-19 19:22 UTC
MULTIVERSE,,21.30,2026-09-19 19:22 UTC
NAHCO,,130.00,2026-09-19 19:22 UTC
NASCON,,160.00,2026-09-19 19:22 UTC
NB,,75.20,2026-09-19 19:22 UTC
NCR,,161.20,2026-09-19 19:22 UTC
NEIMETH,,6.70,2026-09-19 19:22 UTC
NEM,,28.50,2026-09-19 19:22 UTC
NESTLE,,2900.00,2026-09-19 19:22 UTC
NGXGROUP,,179.90,2026-09-19 19:22 UTC
NIDF,,147.70,2026-09-19 19:22 UTC
NNFM,,79.40,2026-09-19 19:22 UTC
NPFMCRFBK,,4.00,2026-09-19 19:22 UTC
NREIT,,113.00,2026-09-19 19:22 UTC
NSLTECH,,0.72,2026-09-19 19:22 UTC
OANDO,,34.00,2026-09-19 19:22 UTC
OKOMUOIL,,1418.00,2026-09-19 19:22 UTC
OMATEK,,1.20,2026-09-19 19:22 UTC
PHARMDEKO,,1.83,2026-09-19 19:22 UTC
PREMPAINTS,,30.40,2026-09-19 19:22 UTC
PRESCO,,2045.30,2026-09-19 19:22 UTC
PRESTIGE,,1.36,2026-09-19 19:22 UTC
PZ,,73.60,2026-09-19 19:22 UTC
REDSTAREX,,14.75,2026-09-19 19:22 UTC
